obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""228.80225""","=""228.80227""","=""1500r""","=""5.3e+08""",C,"=""0.0000000""","=""5.41716521""","=""4d10.5s2""","=""1S""","=""0""","=""4d10.5s.5p""","=""1P*""","=""1""",,"=""T4515""","=""L3486""",
"=""249.0998""","=""249.09935""","=""3""","=""""",,"=""3.80087037""","=""8.7766684""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.10d""","=""3D""","=""2""",,"=""""","=""L3486""",
"=""250.89077""","=""250.89095""","=""10""","=""""",,"=""3.80087037""","=""8.7411389""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.11s""","=""3S""","=""1""",,"=""""","=""L3486c92""",
"=""251.8588""","=""251.858914""","=""15w""","=""""",,"=""3.73365891""","=""8.65494188""","=""4d10.5s.5p""","=""3P*""","=""0""","=""4d10.5s.10s""","=""3S""","=""1""",,"=""""","=""L3486""",
"=""252.51964""","=""252.51964""","=""25w""","=""""",,"=""3.80087037""","=""8.7092775""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.9d""","=""3D""","=""2""",,"=""""","=""L3486""",
"=""254.46130""","=""254.46130""","=""50""","=""""",,"=""3.73365891""","=""8.6046150""","=""4d10.5s.5p""","=""3P*""","=""0""","=""4d10.5s.8d""","=""3D""","=""1""",,"=""""","=""L3486""",
"=""255.34647""","=""255.346488""","=""25""","=""""",,"=""3.80087037""","=""8.65494188""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.10s""","=""3S""","=""1""",,"=""""","=""L3486""",
"=""256.57894""","=""256.57894""","=""3""","=""""",,"=""3.94603913""","=""8.7767960""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.10d""","=""3D""","=""3""",,"=""""","=""L3486""",
"=""258.01062""","=""258.01062""","=""50""","=""""",,"=""3.80087037""","=""8.6048236""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.8d""","=""3D""","=""2""",,"=""""","=""L3486""",
"=""258.4870""","=""258.48702""","=""3""","=""""",,"=""3.94603913""","=""8.7411389""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.11s""","=""3S""","=""1""",,"=""""","=""L3486""",
"=""259.20258""","=""259.202534""","=""30""","=""""",,"=""3.73365891""","=""8.51552301""","=""4d10.5s.5p""","=""3P*""","=""0""","=""4d10.5s.9s""","=""3S""","=""1""",,"=""""","=""L3486""",
"=""260.20477""","=""260.20477""","=""25w""","=""""",,"=""3.94603913""","=""8.7094860""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.9d""","=""3D""","=""3""",,"=""""","=""L3486""",
