obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""""","=""243.376496""","=""0.000012""","=""""","=""3.87e+03""",C+',"=""0.000000000""","=""[5.09279242]""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.18p""","=""2P*""","=""3/2""",,"=""T76n,T817""","=""""",
"=""""","=""""","=""243.376703""","=""0.000012""","=""""","=""3.87e+03""",C+',"=""0.000000000""","=""[5.09278808]""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.18p""","=""2P*""","=""1/2""",,"=""T76n,T817""","=""""",
"=""""","=""""","=""243.659344""","=""0.000012""","=""""","=""4.64e+03""",C+',"=""0.000000000""","=""[5.08688097]""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.17p""","=""2P*""","=""3/2""",,"=""T76n,T817""","=""""",
"=""""","=""""","=""243.659599""","=""0.000012""","=""""","=""4.64e+03""",C+',"=""0.000000000""","=""[5.08687564]""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.17p""","=""2P*""","=""1/2""",,"=""T76n,T817""","=""""",
"=""""","=""""","=""244.000936""","=""0.000012""","=""""","=""5.6e+03""",C+',"=""0.000000000""","=""[5.07976007]""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.16p""","=""2P*""","=""3/2""",,"=""T76n,T817""","=""""",
"=""""","=""""","=""244.001245""","=""0.000012""","=""""","=""5.6e+03""",C+',"=""0.000000000""","=""[5.07975362]""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.16p""","=""2P*""","=""1/2""",,"=""T76n,T817""","=""""",
"=""""","=""""","=""244.418818""","=""0.000012""","=""""","=""6.8e+03""",C+',"=""0.000000000""","=""[5.07107584]""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.15p""","=""2P*""","=""3/2""",,"=""T76n,T817""","=""""",
"=""""","=""""","=""244.419195""","=""0.000012""","=""""","=""6.8e+03""",C+',"=""0.000000000""","=""[5.07106803]""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.15p""","=""2P*""","=""1/2""",,"=""T76n,T817""","=""""",
"=""""","=""""","=""244.937663""","=""0.000012""","=""""","=""8.6e+03""",C+',"=""0.000000000""","=""[5.06033472]""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.14p""","=""2P*""","=""3/2""",,"=""T76n,T817""","=""""",
"=""""","=""""","=""244.938137""","=""0.000012""","=""""","=""8.6e+03""",C+',"=""0.000000000""","=""[5.06032492]""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.14p""","=""2P*""","=""1/2""",,"=""T76n,T817""","=""""",
"=""""","=""""","=""245.593045""","=""0.000012""","=""""","=""1.12e+04""",C+',"=""0.000000000""","=""[5.04683185]""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.13p""","=""2P*""","=""3/2""",,"=""T76n,T817""","=""""",
"=""""","=""""","=""245.593648""","=""0.000012""","=""""","=""1.12e+04""",C+',"=""0.000000000""","=""[5.04681945]""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.13p""","=""2P*""","=""1/2""",,"=""T76n,T817""","=""""",
"=""""","=""""","=""246.437851""","=""0.000012""","=""""","=""1.44e+04""",C+',"=""0.000000000""","=""[5.02953221]""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.12p""","=""2P*""","=""3/2""",,"=""T76n,T817""","=""""",
"=""""","=""""","=""246.438640""","=""0.000012""","=""""","=""1.44e+04""",C+',"=""0.000000000""","=""[5.02951609]""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.12p""","=""2P*""","=""1/2""",,"=""T76n,T817""","=""""",
"=""""","=""""","=""247.553565""","=""0.000012""","=""""","=""1.94e+04""",C+',"=""0.000000000""","=""5.00686591""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.11p""","=""2P*""","=""3/2""",,"=""T76n,T817""","=""""",
"=""""","=""""","=""247.554619""","=""0.000012""","=""""","=""1.94e+04""",C+',"=""0.000000000""","=""5.00684459""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.11p""","=""2P*""","=""1/2""",,"=""T76n,T817""","=""""",
"=""""","=""""","=""249.071261""","=""0.000013""","=""""","=""1.89e+04""",D+,"=""0.000000000""","=""4.97635910""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.10p""","=""2P*""","=""3/2""",,"=""T76n""","=""""",
"=""""","=""""","=""249.072707""","=""0.000013""","=""""","=""1.89e+04""",D+,"=""0.000000000""","=""4.97633022""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.10p""","=""2P*""","=""1/2""",,"=""T76n""","=""""",
"=""""","=""""","=""251.213407""","=""0.000013""","=""""","=""3.20e+04""",D+,"=""0.000000000""","=""[4.93392762]""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.9p""","=""2P*""","=""3/2""",,"=""c30,T76n""","=""""",
"=""""","=""""","=""251.215497""","=""0.000013""","=""""","=""3.10e+04""",C,"=""0.000000000""","=""[4.93388658]""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.9p""","=""2P*""","=""1/2""",,"=""c30,T76n""","=""""",
"=""254.382""","=""0.0004""","=""254.38405""","=""0.00013""","=""""","=""4.46e+04""",C+,"=""0.000000000""","=""4.8724352""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.8p""","=""2P*""","=""3/2""",,"=""c30,T76n""","=""L15055,L6096""",
"=""254.388""","=""0.0004""","=""254.38722""","=""0.00013""","=""""","=""4.35e+04""",C+,"=""0.000000000""","=""4.8723744""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.8p""","=""2P*""","=""1/2""",,"=""c30,T76n""","=""L15055,L6096""",
"=""259.383""","=""0.0004""","=""259.38685""","=""0.00013""","=""""","=""8.13e+04""",B,"=""0.000000000""","=""4.7784663""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.7p""","=""2P*""","=""3/2""",,"=""c30,T76n""","=""L15055,L6096""",
"=""259.393""","=""0.0004""","=""259.39190""","=""0.00013""","=""""","=""7.96e+04""",C+,"=""0.000000000""","=""4.7783733""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.7p""","=""2P*""","=""1/2""",,"=""c30,T76n""","=""L15055,L6096""",
"=""268.0331""","=""0.0004""","=""268.03407""","=""0.00014""","=""""","=""1.84e+05""",B+,"=""0.000000000""","=""4.6243143""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.6p""","=""2P*""","=""3/2""",,"=""c30,T76n""","=""L3319,L6096""",
"=""268.0421""","=""0.0004""","=""268.04334""","=""0.00014""","=""""","=""1.81e+05""",B,"=""0.000000000""","=""4.6241543""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.6p""","=""2P*""","=""1/2""",,"=""c30,T76n""","=""L3319,L6096""",
"=""285.2811""","=""0.0004""","=""285.28110""","=""0.00016""","=""16""","=""5.38e+05""",B+,"=""0.000000000""","=""4.3447597""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.5p""","=""2P*""","=""3/2""",,"=""c30,T76n""","=""L6096""",
"=""285.3013""","=""0.0004""","=""285.30121""","=""0.00016""","=""15""","=""5.31e+05""",B+,"=""0.000000000""","=""4.3444534""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.5p""","=""2P*""","=""1/2""",,"=""c30,T76n""","=""L6096""",
"=""289.3618""","=""0.0004""","=""289.361130""","=""0.000017""","=""1""","=""""",,"=""0.000000000""","=""4.28350081""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.4d""","=""2D""","=""3/2""",E2,"=""""","=""L6096""",
"=""330.2369""","=""0.0005""","=""330.23686""","=""0.00022""","=""19""","=""2.75e+06""",A,"=""0.000000000""","=""3.7533216""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.4p""","=""2P*""","=""3/2""",,"=""c30,T76n""","=""L6096""",
"=""330.2979""","=""0.0005""","=""330.29785""","=""0.00022""","=""18""","=""2.73e+06""",B+,"=""0.000000000""","=""3.7526285""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.4p""","=""2P*""","=""1/2""",,"=""c30,T76n""","=""L6096""",
"=""341.62""","=""0.02""","=""341.607""","=""0.011""","=""""","=""1.5e+07""",D,"=""32.7002""","=""36.3286""","=""2p5.(2P*).3s.3p.(3P*)""","=""4S""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""3/2""",,"=""T5209""","=""L6269""",
"=""342.6862""","=""0.0005""","=""342.685779""","=""0.000024""","=""6""","=""""",,"=""0.000000000""","=""3.61697701""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.3d""","=""2D""","=""3/2""",E2,"=""""","=""L6096""",
"=""342.73""","=""0.02""","=""342.736""","=""0.011""","=""9""","=""2.8e+07""",D,"=""32.7002""","=""36.3167""","=""2p5.(2P*).3s.3p.(3P*)""","=""4S""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4F*""","=""5/2""",,"=""T5209""","=""L6269""",
"=""348.90""","=""0.02""","=""348.890""","=""0.009""","=""130""","=""4.2e+07""",D,"=""32.7002""","=""36.2529""","=""2p5.(2P*).3s.3p.(3P*)""","=""4S""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""5/2""",,"=""T5209""","=""L6269""",
"=""350.25""","=""0.02""","=""350.237""","=""0.010""","=""160""","=""8.8e+07""",D,"=""32.7002""","=""36.2392""","=""2p5.(2P*).3s.3p.(3P*)""","=""4S""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4P*""","=""3/2""",,"=""T5209""","=""L6269""",
"=""351.10""","=""0.02""","=""351.093""","=""0.010""","=""130""","=""1.15e+08""",D,"=""32.7002""","=""36.2306""","=""2p5.(2P*).3s.3p.(3P*)""","=""4S""","=""3/2""","=""2p5.3s.(3P*).3d""","=""4P*""","=""1/2""",,"=""T5209""","=""L6269""",
"=""383.36""","=""0.02""","=""383.380""","=""0.012""","=""""","=""""",,"=""33.0956""","=""36.3286""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""5/2""","=""2p5.3s.(3P*).3d""","=""4D*""","=""3/2""",,"=""""","=""L10065""",
"=""384.80""","=""0.02""","=""384.802""","=""0.013""","=""5""","=""2.8e+07""",D,"=""33.0956""","=""36.3167""","=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""5/2""","=""2p5.3s.(3P*).3d""","=""4F*""","=""5/2""",,"=""T5209""","=""L6269""",
