obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""256.179""","=""0.002""","=""256.1786""","=""0.0013""","=""80""","=""""",,"=""16.61907009""","=""21.457375""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<1/2>).9p""","=""2[3/2]""","=""2""",,"=""""","=""L3469""",
"=""257.455""","=""0.002""","=""257.4553""","=""0.0020""","=""80*""","=""""",,"=""16.61907009""","=""21.43338""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).11p""","=""2[3/2]""","=""1""",,"=""""","=""L3469""",
"=""257.455""","=""0.002""","=""257.4553""","=""0.0020""","=""80*""","=""""",,"=""16.61907009""","=""21.43338""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).11p""","=""2[3/2]""","=""2""",,"=""""","=""L3469""",
"=""258.948""","=""0.002""","=""258.9489""","=""0.0013""","=""20""","=""""",,"=""16.67082693""","=""21.457375""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).9p""","=""2[3/2]""","=""2""",,"=""""","=""L3469""",
"=""259.067""","=""0.002""","=""259.0687""","=""0.0020""","=""100*""","=""""",,"=""16.61907009""","=""21.40340""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).10p""","=""2[3/2]""","=""1""",,"=""""","=""L3469""",
"=""259.067""","=""0.002""","=""259.0667""","=""0.0020""","=""100*""","=""""",,"=""16.61907009""","=""21.40344""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).10p""","=""2[3/2]""","=""2""",,"=""""","=""L3469""",
"=""259.115""","=""0.002""","=""259.1150""","=""0.0020""","=""30""","=""""",,"=""16.61907009""","=""21.40255""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).10p""","=""2[5/2]""","=""3""",,"=""""","=""L3469""",
"=""259.456""","=""0.002""","=""259.452""","=""0.003""","=""20""","=""""",,"=""16.61907009""","=""21.39634""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<1/2>).8p""","=""2[3/2]""","=""2""",,"=""""","=""L3469""",
"=""259.521""","=""0.002""","=""259.5213""","=""0.0020""","=""500""","=""""",,"=""16.61907009""","=""21.39506""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<1/2>).8p""","=""2[1/2]""","=""1""",,"=""""","=""L3469""",
"=""261.359""","=""0.002""","=""261.3588""","=""0.0021""","=""300*""","=""""",,"=""16.61907009""","=""21.36149""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).9p""","=""2[3/2]""","=""2""",,"=""""","=""L3469""",
"=""261.359""","=""0.002""","=""261.3642""","=""0.0014""","=""300*""","=""""",,"=""16.61907009""","=""21.361386""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).9p""","=""2[3/2]""","=""1""",,"=""""","=""L3469""",
"=""261.3925""","=""0.0001""","=""261.39250""","=""0.00010""","=""20""","=""""",,"=""16.61907009""","=""21.3608738""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).9p""","=""2[5/2]""","=""2""",,"=""""","=""L2637""",
"=""261.426""","=""0.002""","=""261.4258""","=""0.0021""","=""50""","=""""",,"=""16.61907009""","=""21.36027""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).9p""","=""2[5/2]""","=""3""",,"=""""","=""L3469""",
"=""261.662""","=""0.002""","=""261.6622""","=""0.0021""","=""250""","=""""",,"=""16.67082693""","=""21.40774""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).10p""","=""2[1/2]""","=""0""",,"=""""","=""L3469""",
"=""261.902""","=""0.002""","=""261.9001""","=""0.0021""","=""50*""","=""""",,"=""16.67082693""","=""21.40344""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).10p""","=""2[3/2]""","=""2""",,"=""""","=""L3469""",
"=""261.902""","=""0.002""","=""261.9021""","=""0.0021""","=""50*""","=""""",,"=""16.67082693""","=""21.40340""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).10p""","=""2[3/2]""","=""1""",,"=""""","=""L3469""",
"=""261.977""","=""0.002""","=""261.9769""","=""0.0021""","=""30""","=""""",,"=""16.67082693""","=""21.40205""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).10p""","=""2[1/2]""","=""1""",,"=""""","=""L3469""",
"=""262.110""","=""0.002""","=""262.1102""","=""0.0021""","=""80""","=""""",,"=""16.67082693""","=""21.39965""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).8p""","=""2[1/2]""","=""0""",,"=""""","=""L3469""",
"=""262.290""","=""0.002""","=""262.294""","=""0.003""","=""150""","=""""",,"=""16.67082693""","=""21.39634""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).8p""","=""2[3/2]""","=""2""",,"=""""","=""L3469""",
"=""263.997""","=""0.002""","=""263.99605""","=""0.00007""","=""150""","=""""",,"=""16.67082693""","=""21.3658693""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).9p""","=""2[1/2]""","=""0""",,"=""""","=""L3469""",
"=""264.247""","=""0.002""","=""264.2428""","=""0.0021""","=""80*""","=""""",,"=""16.67082693""","=""21.36149""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).9p""","=""2[3/2]""","=""2""",,"=""""","=""L3469""",
"=""264.247""","=""0.002""","=""264.2484""","=""0.0014""","=""80*""","=""""",,"=""16.67082693""","=""21.361386""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).9p""","=""2[3/2]""","=""1""",,"=""""","=""L3469""",
"=""264.551""","=""0.002""","=""264.5509""","=""0.0021""","=""500""","=""""",,"=""16.61907009""","=""21.30427""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<1/2>).7p""","=""2[1/2]""","=""1""",,"=""""","=""L3469""",
"=""264.570""","=""0.002""","=""264.57175""","=""0.00010""","=""300""","=""""",,"=""16.61907009""","=""21.3038970""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<1/2>).7p""","=""2[3/2]""","=""2""",,"=""""","=""L3469""",
"=""264.742""","=""0.002""","=""264.7421""","=""0.0014""","=""2000""","=""""",,"=""16.61907009""","=""21.300882""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).8p""","=""2[3/2]""","=""2""",,"=""""","=""L3469""",
"=""264.776""","=""0.002""","=""264.77850""","=""0.00010""","=""80""","=""""",,"=""16.61907009""","=""21.3002391""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).8p""","=""2[3/2]""","=""1""",,"=""""","=""L3469""",
"=""264.821""","=""0.002""","=""264.8235""","=""0.0021""","=""150""","=""""",,"=""16.61907009""","=""21.29944""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).8p""","=""2[5/2]""","=""2""",,"=""""","=""L3469""",
"=""264.856""","=""0.002""","=""264.8558""","=""0.0021""","=""250""","=""""",,"=""16.61907009""","=""21.29887""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).8p""","=""2[5/2]""","=""3""",,"=""""","=""L3469""",
"=""265.101""","=""0.002""","=""265.0999""","=""0.0014""","=""500""","=""""",,"=""16.61907009""","=""21.294564""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).8p""","=""2[1/2]""","=""1""",,"=""""","=""L3469""",
"=""265.752""","=""0.002""","=""265.751676""","=""0.000011""","=""150*""","=""""",,"=""16.61907009""","=""21.28309768""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<1/2>).6f""","=""2[5/2]""","=""2""",,"=""""","=""L3469""",
"=""265.752""","=""0.002""","=""265.751752""","=""0.000011""","=""150*""","=""""",,"=""16.61907009""","=""21.28309635""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<1/2>).6f""","=""2[5/2]""","=""3""",,"=""""","=""L3469""",
"=""266.784""","=""0.002""","=""266.7826""","=""0.0014""","=""20""","=""""",,"=""16.71538108""","=""21.361386""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""0""","=""2s2.2p5.(2P*<3/2>).9p""","=""2[3/2]""","=""1""",,"=""""","=""L3469""",
"=""266.913""","=""0.002""","=""266.91366""","=""0.00014""","=""30""","=""""",,"=""16.67082693""","=""21.3145513""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).7p""","=""2[1/2]""","=""0""",,"=""""","=""L3469""",
"=""267.5275""","=""0.0001""","=""267.52750""","=""0.00010""","=""2000""","=""""",,"=""16.67082693""","=""21.3038970""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).7p""","=""2[3/2]""","=""2""",,"=""""","=""L2637""",
"=""267.564""","=""0.002""","=""267.56533""","=""0.00010""","=""2000""","=""""",,"=""16.67082693""","=""21.3032418""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).7p""","=""2[3/2]""","=""1""",,"=""""","=""L3469""",
"=""267.7020""","=""0.0020""","=""267.7017""","=""0.0014""","=""10""","=""""",,"=""16.67082693""","=""21.300882""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).8p""","=""2[3/2]""","=""2""",,"=""""","=""L3469""",
"=""267.7389""","=""0.0001""","=""267.73889""","=""0.00010""","=""150""","=""""",,"=""16.67082693""","=""21.3002391""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).8p""","=""2[3/2]""","=""1""",,"=""""","=""L2637""",
"=""267.787""","=""0.002""","=""267.7849""","=""0.0022""","=""20""","=""""",,"=""16.67082693""","=""21.29944""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).8p""","=""2[5/2]""","=""2""",,"=""""","=""L3469""",
"=""268.0685""","=""0.0020""","=""268.0675""","=""0.0014""","=""10""","=""""",,"=""16.67082693""","=""21.294564""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).8p""","=""2[1/2]""","=""1""",,"=""""","=""L3469""",
"=""268.6742""","=""0.0001""","=""268.67420""","=""0.00010""","=""150""","=""""",,"=""16.84805369""","=""21.4613508""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).9p""","=""2[1/2]""","=""0""",,"=""""","=""L2637""",
"=""270.0555""","=""0.0020""","=""270.0562""","=""0.0009""","=""80""","=""""",,"=""16.61907009""","=""21.208761""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).7p""","=""2[3/2]""","=""2""",,"=""""","=""L3469""",
"=""270.0681""","=""0.0020""","=""270.0722""","=""0.0015""","=""20""","=""""",,"=""16.61907009""","=""21.208489""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).7p""","=""2[3/2]""","=""1""",,"=""""","=""L3469""",
"=""270.1639""","=""0.0001""","=""270.16389""","=""0.00010""","=""20""","=""""",,"=""16.71538108""","=""21.3032418""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""0""","=""2s2.2p5.(2P*<1/2>).7p""","=""2[3/2]""","=""1""",,"=""""","=""L2637""",
